date,Country,confirmed_cases
"Dec 31, 2019",India,0
"Dec 31, 2019",United_States_of_America,0
"Dec 31, 2019",Brazil,0
"Jan 1, 2020",Brazil,0
"Jan 1, 2020",India,0
"Jan 1, 2020",United_States_of_America,0
"Jan 2, 2020",United_States_of_America,0
"Jan 2, 2020",India,0
"Jan 2, 2020",Brazil,0
"Jan 3, 2020",Brazil,0
"Jan 3, 2020",India,0
"Jan 3, 2020",United_States_of_America,0
"Jan 4, 2020",India,0
"Jan 4, 2020",Brazil,0
"Jan 4, 2020",United_States_of_America,0
"Jan 5, 2020",Brazil,0
"Jan 5, 2020",United_States_of_America,0
"Jan 5, 2020",India,0
"Jan 6, 2020",United_States_of_America,0
"Jan 6, 2020",India,0
"Jan 6, 2020",Brazil,0
"Jan 7, 2020",Brazil,0
"Jan 7, 2020",India,0
"Jan 7, 2020",United_States_of_America,0
"Jan 8, 2020",United_States_of_America,0
"Jan 8, 2020",India,0
"Jan 8, 2020",Brazil,0
"Jan 9, 2020",India,0
"Jan 9, 2020",United_States_of_America,0
"Jan 9, 2020",Brazil,0
"Jan 10, 2020",India,0
"Jan 10, 2020",Brazil,0
"Jan 10, 2020",United_States_of_America,0
"Jan 11, 2020",Brazil,0
"Jan 11, 2020",India,0
"Jan 11, 2020",United_States_of_America,0
"Jan 12, 2020",Brazil,0
"Jan 12, 2020",India,0
"Jan 12, 2020",United_States_of_America,0
"Jan 13, 2020",Brazil,0
"Jan 13, 2020",United_States_of_America,0
"Jan 13, 2020",India,0
"Jan 14, 2020",United_States_of_America,0
"Jan 14, 2020",Brazil,0
"Jan 14, 2020",India,0
"Jan 15, 2020",Brazil,0
"Jan 15, 2020",India,0
"Jan 15, 2020",United_States_of_America,0
"Jan 16, 2020",India,0
"Jan 16, 2020",Brazil,0
"Jan 16, 2020",United_States_of_America,0
"Jan 17, 2020",United_States_of_America,0
"Jan 17, 2020",India,0
"Jan 17, 2020",Brazil,0
"Jan 18, 2020",India,0
"Jan 18, 2020",Brazil,0
"Jan 18, 2020",United_States_of_America,0
"Jan 19, 2020",India,0
"Jan 19, 2020",Brazil,0
"Jan 19, 2020",United_States_of_America,0
"Jan 20, 2020",India,0
"Jan 20, 2020",United_States_of_America,0
"Jan 20, 2020",Brazil,0
"Jan 21, 2020",Brazil,0
"Jan 21, 2020",India,0
"Jan 21, 2020",United_States_of_America,1
"Jan 22, 2020",United_States_of_America,1
"Jan 22, 2020",India,0
"Jan 22, 2020",Brazil,0
"Jan 23, 2020",India,0
"Jan 23, 2020",Brazil,0
"Jan 23, 2020",United_States_of_America,1
"Jan 24, 2020",United_States_of_America,1
"Jan 24, 2020",India,0
"Jan 24, 2020",Brazil,0
"Jan 25, 2020",India,0
"Jan 25, 2020",United_States_of_America,2
"Jan 25, 2020",Brazil,0
"Jan 26, 2020",India,0
"Jan 26, 2020",Brazil,0
"Jan 26, 2020",United_States_of_America,2
"Jan 27, 2020",Brazil,0
"Jan 27, 2020",India,0
"Jan 27, 2020",United_States_of_America,5
"Jan 28, 2020",Brazil,0
"Jan 28, 2020",United_States_of_America,5
"Jan 28, 2020",India,0
"Jan 29, 2020",United_States_of_America,5
"Jan 29, 2020",Brazil,0
"Jan 29, 2020",India,0
"Jan 30, 2020",United_States_of_America,5
"Jan 30, 2020",India,1
"Jan 30, 2020",Brazil,0
"Jan 31, 2020",Brazil,0
"Jan 31, 2020",United_States_of_America,6
"Jan 31, 2020",India,1
"Feb 1, 2020",Brazil,0
"Feb 1, 2020",United_States_of_America,7
"Feb 1, 2020",India,1
"Feb 2, 2020",Brazil,0
"Feb 2, 2020",India,2
"Feb 2, 2020",United_States_of_America,8
"Feb 3, 2020",India,2
"Feb 3, 2020",United_States_of_America,11
"Feb 3, 2020",Brazil,0
"Feb 4, 2020",Brazil,0
"Feb 4, 2020",India,3
"Feb 4, 2020",United_States_of_America,11
"Feb 5, 2020",United_States_of_America,11
"Feb 5, 2020",India,3
"Feb 5, 2020",Brazil,0
"Feb 6, 2020",United_States_of_America,12
"Feb 6, 2020",Brazil,0
"Feb 6, 2020",India,3
"Feb 7, 2020",United_States_of_America,12
"Feb 7, 2020",Brazil,0
"Feb 7, 2020",India,3
"Feb 8, 2020",Brazil,0
"Feb 8, 2020",India,3
"Feb 8, 2020",United_States_of_America,12
"Feb 9, 2020",Brazil,0
"Feb 9, 2020",India,3
"Feb 9, 2020",United_States_of_America,12
"Feb 10, 2020",Brazil,0
"Feb 10, 2020",India,3
"Feb 10, 2020",United_States_of_America,12
"Feb 11, 2020",United_States_of_America,13
"Feb 11, 2020",India,3
"Feb 11, 2020",Brazil,0
"Feb 12, 2020",India,3
"Feb 12, 2020",United_States_of_America,13
"Feb 12, 2020",Brazil,0
"Feb 13, 2020",India,3
"Feb 13, 2020",United_States_of_America,14
"Feb 13, 2020",Brazil,0
